subject,trait,n_total,n_correct,accuracy,accuracy_diff
abstract_algebra,agreeableness,120,24,0.2,0.0
abstract_algebra,conscientiousness,120,24,0.2,0.0
abstract_algebra,extraversion,120,24,0.2,0.0
abstract_algebra,neuroticism,120,24,0.2,0.0
abstract_algebra,neutral,20,4,0.2,0.0
abstract_algebra,openness,120,24,0.2,0.0
college_physics,agreeableness,120,36,0.3,0.0
college_physics,conscientiousness,120,36,0.3,0.0
college_physics,extraversion,120,36,0.3,0.0
college_physics,neuroticism,120,36,0.3,0.0
college_physics,neutral,20,6,0.3,0.0
college_physics,openness,120,36,0.3,0.0
high_school_us_history,agreeableness,120,30,0.25,0.0
high_school_us_history,conscientiousness,120,30,0.25,0.0
high_school_us_history,extraversion,120,30,0.25,0.0
high_school_us_history,neuroticism,120,30,0.25,0.0
high_school_us_history,neutral,20,5,0.25,0.0
high_school_us_history,openness,120,30,0.25,0.0
high_school_psychology,agreeableness,120,36,0.3,0.0
high_school_psychology,conscientiousness,120,36,0.3,0.0
high_school_psychology,extraversion,120,36,0.3,0.0
high_school_psychology,neuroticism,120,36,0.3,0.0
high_school_psychology,neutral,20,6,0.3,0.0
high_school_psychology,openness,120,36,0.3,0.0
logical_fallacies,agreeableness,120,24,0.2,0.0
logical_fallacies,conscientiousness,120,24,0.2,0.0
logical_fallacies,extraversion,120,24,0.2,0.0
logical_fallacies,neuroticism,120,24,0.2,0.0
logical_fallacies,neutral,20,4,0.2,0.0
logical_fallacies,openness,120,24,0.2,0.0
professional_law,agreeableness,120,42,0.35,0.0
professional_law,conscientiousness,120,42,0.35,0.0
professional_law,extraversion,120,42,0.35,0.0
professional_law,neuroticism,120,42,0.35,0.0
professional_law,neutral,20,7,0.35,0.0
professional_law,openness,120,42,0.35,0.0
moral_scenarios,agreeableness,120,30,0.25,0.0
moral_scenarios,conscientiousness,120,30,0.25,0.0
moral_scenarios,extraversion,120,30,0.25,0.0
moral_scenarios,neuroticism,120,30,0.25,0.0
moral_scenarios,neutral,20,5,0.25,0.0
moral_scenarios,openness,120,30,0.25,0.0
